time,lineID,stationID,deviceID,status,userID,payType,destinationStation,timeAtDestination
2019-01-03 00:00:09,C,59,2784,1,D381e01ffde865a06f38a5d91758061b3,3,31,2019-01-03 00:09:09
2019-01-03 00:00:11,C,59,2785,1,Da58ddf377d97cfec6e7406c10f490584,3,61,2019-01-03 00:16:11
2019-01-03 00:00:35,B,31,1521,0,B05108ae1cd463c0c66229ce21e00834f,1,4,2019-01-03 00:21:35
2019-01-03 00:00:38,C,35,1674,0,B49fe907c9a112449e68247d245176dfd,1,62,2019-01-03 00:19:38
2019-01-03 00:00:43,C,64,2981,0,B6c3cc69f98066feb1ba971c151c14ec3,1,26,2019-01-03 00:12:43
2019-01-03 00:01:30,C,65,3018,0,B1e4e411a763032194f26367e4b40a569,1,5,2019-01-03 00:14:30
2019-01-03 00:01:47,C,65,3018,0,B1c7808ab4eb49dec9cce45009b4b72df,1,4,2019-01-03 00:20:47
2019-01-03 00:01:58,C,65,3016,0,B4d93ef8e4df27c58782cc711f1a36640,1,78,2019-01-03 00:06:58
2019-01-03 00:02:12,B,30,1478,0,D990b438bd7ce01eeeb9a5e2a68973fe1,3,23,2019-01-03 00:22:12
2019-01-03 00:02:18,B,24,1221,0,Dfa8fdb341d0788e1261053971f7bf19c,3,50,2019-01-03 00:24:18
2019-01-03 00:02:23,C,34,1645,0,D9e149bc5d0bfa0a77742c1b68c79afeb,3,59,2019-01-03 00:21:23
2019-01-03 00:02:24,C,59,2783,0,D381e01ffde865a06f38a5d91758061b3,3,78,2019-01-03 00:26:24
2019-01-03 00:02:25,B,20,1053,0,D33be9b4f9435176ac43c8912740a0fac,3,32,2019-01-03 00:27:25
2019-01-03 00:02:26,B,33,1586,0,Cfbbbe963f509298922dfa25851baefb3,2,78,2019-01-03 00:27:26
2019-01-03 00:04:04,C,66,3061,0,D557a8b793b94f184fd1b59e29705c68b,3,34,2019-01-03 00:27:04
2019-01-03 00:04:04,C,66,3063,0,B07638ebc4dd02336b731891e9c6262d8,1,58,2019-01-03 00:31:04
2019-01-03 00:04:15,C,66,3061,0,D09d33f03032f74f98a7dcfc4f2559afb,3,41,2019-01-03 00:31:15
2019-01-03 00:04:18,C,66,3063,0,D61396878b67e897ebbed156ca92ca9d2,3,51,2019-01-03 00:24:18
2019-01-03 00:04:33,B,30,1481,0,Df47ce178fddbcb21c97e436430f06442,3,18,2019-01-03 00:12:33
2019-01-03 00:04:40,B,17,944,0,D0d09294e1595b189e813b6ad4271e994,3,65,2019-01-03 00:26:40
2019-01-03 00:04:41,B,17,945,0,D5150cfad68948a21d121b2169a7ebf38,3,53,2019-01-03 00:33:41
2019-01-03 00:04:44,B,6,300,1,Dcd0dd2a2468aa0c59c10a59de207abb2,3,71,2019-01-03 00:34:44
2019-01-03 00:04:47,C,37,1751,0,Dbd850566f673e3768265cc258ea74fca,3,30,2019-01-03 00:30:47
2019-01-03 00:04:54,C,66,3061,0,Bec096a16432cbb6022a6508d4fc20232,1,4,2019-01-03 00:15:54
2019-01-03 00:04:54,C,66,3062,0,Bd08a71a61266d8a5138e33e3902fdddb,1,33,2019-01-03 00:09:54
2019-01-03 00:04:58,C,66,3061,0,C873c03f0bcfe30e3f82265e7268f15ba,2,42,2019-01-03 00:20:58
2019-01-03 00:05:15,C,35,1675,1,Dd03276d1781d30cb3f38369c5f42fcbe,3,58,2019-01-03 00:13:15
2019-01-03 00:05:35,C,37,1751,0,De2097f16101efa13bb91c63070b089cd,3,44,2019-01-03 00:31:35
2019-01-03 00:05:49,B,30,1484,1,D7e62d84d4d03576c3db64e657c1e08db,3,49,2019-01-03 00:21:49
2019-01-03 00:05:52,B,32,1559,1,D1e4c6eda9a6c53a98c65b9897844db14,3,51,2019-01-03 00:19:52
2019-01-03 00:06:03,B,30,1483,0,D7e62d84d4d03576c3db64e657c1e08db,3,53,2019-01-03 00:12:03
2019-01-03 00:06:35,C,39,1829,1,D2f63870526ba25578df1ec88e475b8c7,3,8,2019-01-03 00:35:35
2019-01-03 00:06:38,B,20,1065,0,D91b8c6cc6a7fb20aa5888ec8a8d89805,3,7,2019-01-03 00:32:38
2019-01-03 00:06:54,B,8,383,0,D7d542d290ed22c6f67fcbd9cd626c656,3,53,2019-01-03 00:22:54
