time,lineID,stationID,deviceID,status,userID,payType,destinationStation,timeAtDestination
2019-12-20 17:45:02,A,20,1559,1,D5055ed0f77d4e75dd92fa41433fa297f,3,30,2019-12-20 18:28:02
2019-01-14 10:55:21,B,17,1234,1,Dbd850566f673e3768265cc258ea74fca,3,5,2019-01-14 11:14:21
2022-06-30 16:14:42,B,16,1753,0,D3741c9bca8f776ff5a56664132ed20b1,1,65,2022-06-30 16:21:42
2019-10-12 19:32:46,A,24,2418,0,Dda3fd1b4d5b506e44f2f3e274a9fd046,1,56,2019-10-12 20:28:46
2019-07-08 09:21:50,B,17,901,0,D805e084dce1ae0f36f49ea1ded61d48a,1,65,2019-07-08 09:41:50
2021-11-28 10:37:34,C,69,2631,0,Dda3fd1b4d5b506e44f2f3e274a9fd046,2,31,2021-11-28 10:59:34
2023-01-08 08:31:00,B,17,3638,0,D455de96e5f9d9a62ac3720632c3a707a,1,69,2023-01-08 09:11:00
2020-06-09 09:59:28,B,35,3451,0,D11c3c483cdbbf9bd4c54a7f2369dbb4c,1,66,2020-06-09 10:07:28
2022-04-04 17:05:36,A,51,3450,0,D499e4bcf64660b934bef2a132fe96742,2,59,2022-04-04 17:56:36
2020-08-10 19:30:21,B,35,3272,0,D2852375dc1063d4d119cdb4179e5eb12,3,18,2020-08-10 19:55:21
2020-03-07 18:37:52,B,5,340,0,D11d5597f50bd6f48353471cdd51d257b,3,61,2020-03-07 18:42:52
2022-10-01 09:23:46,B,64,3467,0,D045a19c9d41f734ee6ab1995666bf066,1,50,2022-10-01 10:02:46
2022-11-02 16:36:24,C,79,2562,0,D4fdab754bdd7939ed8f2ec43ce5b0f91,3,32,2022-11-02 16:57:24
2021-08-21 07:15:35,B,52,1226,0,Ddff34380e72814c53319ae413401873b,2,62,2021-08-21 07:44:35
2022-03-22 19:36:08,B,45,197,1,Df47ce178fddbcb21c97e436430f06442,3,30,2022-03-22 20:22:08
2019-05-11 18:15:26,C,45,2416,1,D805e084dce1ae0f36f49ea1ded61d48a,3,62,2019-05-11 18:36:26
2023-11-03 18:42:47,A,18,288,1,D11d5597f50bd6f48353471cdd51d257b,2,44,2023-11-03 19:09:47
2023-04-20 19:41:31,A,32,2869,1,Ddff34380e72814c53319ae413401873b,3,48,2023-04-20 19:46:31
2020-04-25 19:42:08,B,55,2631,1,Dd6c9aa42c7f400ee0564e8fb979f8f14,1,58,2020-04-25 20:18:08
2021-10-19 17:05:32,C,40,2667,0,D9a1246cc45873dd8ed918f7e42952a70,1,52,2021-10-19 17:39:32
2020-09-06 09:10:04,B,71,234,1,D3fdc3c688dda6d1fe363605e73fe0c82,2,64,2020-09-06 09:40:04
2022-01-02 18:13:18,B,6,2981,0,D5055ed0f77d4e75dd92fa41433fa297f,1,15,2022-01-02 18:55:18
2021-10-26 18:09:33,B,57,381,0,Dfb87b759c764b3c3d8a2a93d4afcbca9,3,80,2021-10-26 18:19:33
2024-11-06 08:56:25,B,80,2702,0,D9875a5f44f3ddfaa328e81d41cdaf4a3,3,3,2024-11-06 09:48:25
2020-11-04 07:49:37,C,64,2856,0,D8870155fa6d913c3c03c899f9fb294ad,1,56,2020-11-04 08:29:37
2024-05-01 10:03:18,B,24,3463,0,D37be5e6a945c1c68ff4fd182cbae9250,2,69,2024-05-01 10:36:18
2021-11-15 08:15:57,B,3,2518,1,D7de9fc1e0ded63ffa00d9c47ddb06a56,3,66,2021-11-15 08:56:57
2019-06-29 16:01:03,B,60,1988,0,Dfb1677abefdf8227baaa5de1f4a87530,3,27,2019-06-29 16:55:03
2021-05-27 08:36:51,A,64,2673,1,D0d09294e1595b189e813b6ad4271e994,2,80,2021-05-27 08:56:51
2023-10-12 08:09:08,C,37,3470,0,D48c16dd27a006dcad2a2f451c01f0d1a,2,43,2023-10-12 08:34:08
2019-04-05 19:41:48,A,35,2566,1,D7aef117724d387ad858ae3332367d533,2,58,2019-04-05 20:14:48
2019-09-22 17:30:56,C,78,1588,1,D00e2f382acb34db4ea81b74baa9836f0,1,33,2019-09-22 17:36:56
2019-02-06 19:42:21,C,57,3471,1,D2852375dc1063d4d119cdb4179e5eb12,1,59,2019-02-06 19:47:21
2021-02-28 17:24:15,A,8,3192,0,De7cf643e987ec3eefba3fcd04f1b273f,1,72,2021-02-28 18:09:15
2022-03-01 08:26:24,B,32,3465,0,D96b427fd3a31c894a43d5146e90fd020,3,3,2022-03-01 09:08:24
2023-03-28 16:46:21,A,24,2038,1,D96b427fd3a31c894a43d5146e90fd020,3,53,2023-03-28 16:56:21
2019-07-15 10:24:09,A,15,1063,1,B1c7808ab4eb49dec9cce45009b4b72df,2,65,2019-07-15 11:05:09
2024-07-16 18:59:03,B,7,894,1,D854b7a1a0d2da8f77a82c237391cf352,2,33,2024-07-16 19:11:03
2023-03-21 09:31:39,C,26,1191,0,D8c9925719a859f14ead75367f68e0a06,2,59,2023-03-21 10:18:39
